ARG_Name	ARG	AMR_category	AMR_sub_class	Resistance_mechanism
16S_RRNA_METHYLASE	16S_rRNA_methylase	unclassified	unclassified	-
AAC(1)-I	AAC(1)-I	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-I	aac(2')-I	aminoglycoside	aminoglycoside antibiotic	-
AAC(2')-IA	AAC(2')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-IB	AAC(2')-Ib	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-IC	AAC(2')-Ic	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-ID	AAC(2')-Id	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-IE	AAC(2')-Ie	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-IIA	AAC(2')-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(2')-IIB	AAC(2')-IIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-I	aac(3)-I	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-IA	AAC(3)-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IB	AAC(3)-Ib	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IB-AAC(6')-IB	aac(3)-Ib-aac(6')-Ib	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-IB/AAC(6')-IB''	AAC(3)-Ib/AAC(6')-Ib''	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IC	AAC(3)-Ic	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-ID	AAC(3)-Id	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-II	aac(3)-II	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-IIA	AAC(3)-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIB	AAC(3)-IIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIC	AAC(3)-IIc	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IID	AAC(3)-IId	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIE	AAC(3)-IIe	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIIA	AAC(3)-IIIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIIA	aac(3)-IIIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIIB	AAC(3)-IIIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IIIC	AAC(3)-IIIc	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IV	AAC(3)-IV	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IV	aac(3)-IV	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-IX	aac(3)-IX	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-IXA	AAC(3)-IXa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-VI	aac(3)-VI	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-VIA	AAC(3)-VIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-VII	aac(3)-VII	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-VIIA	AAC(3)-VIIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-VIII	aac(3)-VIII	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-VIIIA	AAC(3)-VIIIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(3)-X	aac(3)-X	aminoglycoside	aminoglycoside antibiotic	-
AAC(3)-XA	AAC(3)-Xa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-29A	AAC(6')-29a	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-29B	AAC(6')-29b	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-30-AAC(6')-IB'	aac(6')-30-aac(6')-Ib'	aminoglycoside	aminoglycoside antibiotic	-
AAC(6')-30/AAC(6')-IB' FUSION PROTEIN	AAC(6')-30/AAC(6')-Ib' fusion protein	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-31	AAC(6')-31	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-31	aac(6')-31	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-32	AAC(6')-32	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-33	AAC(6')-33	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-34	AAC(6')-34	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-I	aac(6')-I	aminoglycoside	aminoglycoside antibiotic	-
AAC(6')-I30	AAC(6')-I30	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IA	AAC(6')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAA	AAC(6')-Iaa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAD	AAC(6')-Iad	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAE	AAC(6')-Iae	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAF	AAC(6')-Iaf	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAG	AAC(6')-Iag	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAI	AAC(6')-Iai	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAJ	AAC(6')-Iaj	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAK	AAC(6')-Iak	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IAN	AAC(6')-Ian	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB	AAC(6')-Ib	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB-CR	AAC(6')-Ib-cr	multidrug	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
AAC(6')-IB-HANGZHOU	AAC(6')-Ib-Hangzhou	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB-SK	AAC(6')-Ib-SK	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB-SUZHOU	AAC(6')-Ib-Suzhou	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB'	AAC(6')-Ib'	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB10	AAC(6')-Ib10	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB11	AAC(6')-Ib11	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB3	AAC(6')-Ib3	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB4	AAC(6')-Ib4	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB7	AAC(6')-Ib7	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB8	AAC(6')-Ib8	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IB9	AAC(6')-Ib9	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IC	AAC(6')-Ic	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IE-APH(2'')-IA	AAC(6')-Ie-APH(2'')-Ia	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IF	AAC(6')-If	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IG	AAC(6')-Ig	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IH	AAC(6')-Ih	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-II	AAC(6')-Ii	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-II	aac(6')-II	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IIA	AAC(6')-IIa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IIB	AAC(6')-IIb	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IIC	AAC(6')-IIc	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IID	AAC(6')-Iid	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IIH	AAC(6')-Iih	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IJ	AAC(6')-Ij	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IK	AAC(6')-Ik	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IL	AAC(6')-Il	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IM	AAC(6')-Im	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IP	AAC(6')-Ip	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IQ	AAC(6')-Iq	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IR	AAC(6')-Ir	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IS	AAC(6')-Is	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-ISA	AAC(6')-Isa	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IT	AAC(6')-It	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IU	AAC(6')-Iu	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IV	AAC(6')-Iv	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IW	AAC(6')-Iw	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IX	AAC(6')-Ix	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IY	AAC(6')-Iy	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAC(6')-IZ	AAC(6')-Iz	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AACA43	aacA43	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAD(6)	aad(6)	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AAD(9)	aad(9)	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA	aadA	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA10	aadA10	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA11	aadA11	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA12	aadA12	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA13	aadA13	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA14	aadA14	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA15	aadA15	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA16	aadA16	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA17	aadA17	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA2	aadA2	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA21	aadA21	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA22	aadA22	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA23	aadA23	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA24	aadA24	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
AADA25	aadA25	aminoglycoside	aminoglycoside antibiotic	antibiotic inactivation
